龍🐉重温经典,#genre#
Now星影台,http://104.233.187.235/php/channelinfo.php?id=13003
Now爆谷台,http://104.233.187.235/php/channelinfo.php?id=13002
重温经典,http://117.162.34.102/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://mtw.so/5NPX0U
重温经典,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
封神榜86版,http://43.138.170.29:35455/yy/1353426319
射雕英雄传83版,http://43.138.170.29:35455/yy/1354210357
红楼梦87版,http://43.138.170.29:35455/yy/1382745084
三国演义94版,http://cfss.cc/cdn/hy/11602081.flv
新三国演义10版,http://43.138.170.29:35455/yy/23512910
新水浒传11版,http://cfss.cc/cdn/hy/11342384.flv
天龙八部黄日华版,http://43.138.170.29:35455/yy/1351814644
神雕侠侣古天乐版,http://cfss.cc/cdn/hy/23865171.flv
笑傲江湖吕颂贤版,http://cfss.cc/cdn/hy/23865142.flv
倚天屠龙记苏有朋版,http://43.138.170.29:35455/yy/1449856066
倚天屠龙记吴启华版,http://cfss.cc/cdn/hy/23734246.flv
鹿鼎记陈小春版,http://cfss.cc/cdn/hy/23865080.flv
铁齿铜牙纪晓岚,http://cfss.cc/cdn/hy/11342396.flv
康熙微服私访记,https://live.metshop.top/yy/1352811698
康熙王朝,http://cfss.cc/cdn/hy/11352940.flv
雍正王朝,http://cfss.cc/cdn/hy/11342439.flv
大汉天子,https://live.metshop.top/yy/1382736807
宰相刘罗锅,http://43.138.170.29:35455/yy/1382745191
神医喜来乐,http://43.138.170.29:35455/yy/1382714119
忠烈杨家将,https://live.metshop.top/yy/1382749909
少年歌行,http://43.138.170.29:35455/yy/1450556636
雪中悍刀行,http://43.138.170.29:35455/yy/1382660835
庆余年,http://cfss.cc/cdn/hy/11352960.flv
鹊刀门传奇,http://43.138.170.29:35455/yy/1355344777
花千骨,http://43.138.170.29:35455/yy/1354943110
知否知否应是绿肥红瘦,http://43.138.170.29:35455/yy/21881901
神探狄仁杰,http://43.138.170.29:35455/yy/1351755386
仙剑奇侠传,http://43.138.170.29:35455/yy/1382749903
武林外传,http://43.138.170.29:35455/yy/1355652820
宝莲灯前传,http://43.138.170.29:35455/yy/1354931631
西游记后传,http://43.138.170.29:35455/yy/1382736846
济公游记,http://43.138.170.29:35455/yy/1355265814
上海滩80版,http://43.138.170.29:35455/yy/1382745184
新白娘子传奇,http://43.138.170.29:35455/yy/1354930969
福贵,http://43.138.170.29:35455/yy/1354926537
金婚,http://43.138.170.29:35455/yy/1382736832
正阳门下,http://43.138.170.29:35455/yy/1354931580
黑冰,https://live.metshop.top/yy/1354932427
天道,https://live.metshop.top/yy/1382735574
血色浪漫,http://43.138.170.29:35455/yy/1354926676
父母爱情,https://live.metshop.top/yy/1354926650
情满四合院,http://43.138.170.29:35455/yy/1382736888
永远一家人,http://43.138.170.29:35455/yy/1382736873
爱情公寓,http://cfss.cc/cdn/hy/11336726.flv
我爱我家,https://live.metshop.top/yy/1382735557
家有儿女,http://cfss.cc/cdn/hy/11352872.flv
回家的诱惑,http://43.138.170.29:35455/yy/1354658048
粉红色女郎,http://43.138.170.29:35455/yy/1354888671
放羊的星星,http://43.138.170.29:35455/yy/1355260662
来自星星的你,http://43.138.170.29:35455/yy/1354930976
繁花,http://cfss.cc/cdn/hy/21059580.flv
大江大河,https://live.metshop.top/yy/1382736806
大江大河2,https://live.metshop.top/yy/1382736797
我的前半生,http://43.138.170.29:35455/yy/1382735564
小欢喜,https://live.metshop.top/yy/1382737888
欢乐颂,http://43.138.170.29:35455/douyu/3756989
好先生,http://43.138.170.29:35455/douyu/9650792
我的体育老师,http://43.138.170.29:35455/yy/1382745169
生逢灿烂的日子,http://43.138.170.29:35455/yy/1382745085
狂飙,http://43.138.170.29:35455/yy/1355142167
白夜追凶第一季,https://live.metshop.top/yy/1354932359
士兵突击,http://43.138.170.29:35455/yy/1382828766
火蓝刀锋,http://43.138.170.29:35455/yy/1382737892
我是特种兵,http://43.138.170.29:35455/yy/37999586
特种兵火凤凰,http://43.138.170.29:35455/yy/1463088777
地下交通站,http://43.138.170.29:35455/yy/37880083
小兵张嘎,http://43.138.170.29:35455/yy/1354930225
津门飞鹰,http://43.138.170.29:35455/yy/1354143942
五号特工组,http://43.138.170.29:35455/yy/1507704566
怪医文三块,http://43.138.170.29:35455/yy/1354936154
二炮手,http://43.138.170.29:35455/yy/1354930964
风筝,http://43.138.170.29:35455/yy/1354931585
伪装者,http://43.138.170.29:35455/yy/1382851593
叛逆者,https://live.metshop.top/yy/1382736868
鬼吹灯之怒晴湘西,http://cfss.cc/cdn/hy/11602075.flv
鬼吹灯之龙岭迷窟,http://cfss.cc/cdn/hy/29465863.flv
鬼吹灯之昆仑神宫,http://cfss.cc/cdn/hy/11601957.flv
鬼吹灯之云南虫谷,https://live.metshop.top/huya/11352898#http://cfss.cc/cdn/hy/11352898.flv
鬼吹灯之南海归墟,https://live.metshop.top/huya/11352883#http://cfss.cc/cdn/hy/11352883.flv
使徒行者,http://cfss.cc/cdn/hy/23734256.flv
飞虎之雷霆极战,https://live.metshop.top/yy/1382736869
飞虎之潜行极战,https://live.metshop.top/yy/1354932420
法证先锋Ⅰ,https://live.metshop.top/yy/1354930939
法证先锋Ⅱ,https://live.metshop.top/yy/1354888736
法证先锋Ⅲ,http://cfss.cc/cdn/hy/23863804.flv
法证先锋Ⅳ,http://cfss.cc/cdn/hy/23829543.flv
谈判专家,https://live.metshop.top/yy/1382735560
读心神探,https://live.metshop.top/yy/1382736875
心理追凶,https://live.metshop.top/yy/1354936207
机动部队,https://live.metshop.top/yy/1354932371
刑事侦缉档案,http://cfss.cc/cdn/hy/23734169.flv
鉴证实录,http://cfss.cc/cdn/hy/23903183.flv
扫黄先锋,http://cfss.cc/cdn/hy/23903196.flv
陀枪师姐,http://cfss.cc/cdn/hy/23860039.flv
创世纪,http://cfss.cc/cdn/hy/23749083.flv
流金岁月,http://43.138.170.29:35455/yy/1382736891
笑看风云,http://cfss.cc/cdn/hy/23865058.flv
大时代,http://cfss.cc/cdn/hy/23865161.flv
缺宅男女,https://live.metshop.top/yy/1382745088
男亲女爱,http://43.138.170.29:35455/yy/1382736715
溏心风暴之家好月圆,https://live.metshop.top/yy/1354888747
名媛望族,https://live.metshop.top/yy/1354932431
楚汉骄雄,http://cfss.cc/cdn/hy/23740156.flv
洗冤录,http://cfss.cc/cdn/hy/23903130.flv
金枝欲孽,http://cfss.cc/cdn/hy/23865036.flv
大唐双龙传,http://cfss.cc/cdn/hy/23728674.flv
金玉满堂,https://live.metshop.top/yy/1382736881
天下第一,https://live.metshop.top/yy/1382736838
公主嫁到,https://live.metshop.top/yy/1382736915
宫心计,https://live.metshop.top/yy/1354932429
寻秦记,http://43.138.170.29:35455/yy/1382749900
鹿鼎记梁朝伟版,http://cfss.cc/cdn/hy/23734183.flv
西游记张卫健版,http://43.138.170.29:35455/yy/1354936155

龍🐉央視一,#genre#
CCTV1,http://4170.hsmedia.top:8080/newlive/live/hls/1/live.m3u8
CCTV2,http://4170.hsmedia.top:8080/newlive/live/hls/2/live.m3u8
CCTV3,http://4170.hsmedia.top:8080/newlive/live/hls/3/live.m3u8
CCTV4,http://4170.hsmedia.top:8080/newlive/live/hls/4/live.m3u8
CCTV5,http://4170.hsmedia.top:8080/newlive/live/hls/5/live.m3u8
CCTV6,http://4170.hsmedia.top:8080/newlive/live/hls/6/live.m3u8
CCTV7,http://4170.hsmedia.top:8080/newlive/live/hls/7/live.m3u8
CCTV8,http://4170.hsmedia.top:8080/newlive/live/hls/8/live.m3u8
CCTV9,http://4170.hsmedia.top:8080/newlive/live/hls/9/live.m3u8
CCTV10,http://4170.hsmedia.top:8080/newlive/live/hls/10/live.m3u8
CCTV11,http://4170.hsmedia.top:8080/newlive/live/hls/11/live.m3u8
CCTV12,http://4170.hsmedia.top:8080/newlive/live/hls/12/live.m3u8
CCTV13,http://4170.hsmedia.top:8080/newlive/live/hls/13/live.m3u8
CCTV14,http://4170.hsmedia.top:8080/newlive/live/hls/14/live.m3u8
CCTV15,http://4170.hsmedia.top:8080/newlive/live/hls/15/live.m3u8
CGTN,http://4170.hsmedia.top:8080/newlive/live/hls/16/live.m3u8
CCTV17,http://4170.hsmedia.top:8080/newlive/live/hls/17/live.m3u8

